feature,benefit
air purifier ,the air is always clean 
the heater/AC to turn off when I leave and turn back on when I unlock the front door,so that I can save energy
"watcher sensitive television,",it will know who is watching and adjust suggested programs and commercials shown accordingly
smart refrigerator ,it would tell what food would need to be replaced 
an alarm to go off if my children's windows open,I can ensure that they are safe
a smart tv that can recognize it's viewer's face,it will automatically go to a favorite selected channel for the main viewer watching
my smart home to keep a running weekly calendar which gives me task reminders I put in at the start of each week,I never forget a thing
my doors to unlock to police or firefighters,we can be accessed in case of an emergency
outdoor sensors,when an intruder or passersby go by it will automatically light up
"smar lighting system,",the mood will adjust based on the time of day and occupant's positions
my garage door to open when my car pulls into the driveway,I don't need to keep track of a garage door opener
sensors activated at night by the doors and windows,if an intruder breaks in when everyone is sleeping or gone an alarm will sound the police will be called to the house
my smart home to monitor for mold and other airborne issues,I can be alerted when the air in the home is unsafe
"temperature sensing oven,",the temperature of the food will be displayed
Kitchen counter top motion alarms,A clapping sound will go off to inform my cat he is to get off of the counter immediately  This will also alert me that he is being naughty again
the lights in my room to slowly come on when it is time to wake up,I can be woken ambiently
lights and other electronics to be shut off after no movement for 30 minutes,it will save electricity and prevent possible electrical bursts
"secure doggy door,",it will only unlock for my dogs
my blinds to close once it gets dark out and open when the sun comes up,I can save myself from having to do it myself
my smart home to monitor my baby's breathing at night,I can be alerted if my baby stops breathing
fragrance emitter in the bathrooms,when it detects bad odor it will spray 
smart roofing,it will absorb or reflect the temperature of the outside air to keep the house comfortable
a smart driveway,it will heat up to melt away any snow or ice
smart child sensor,I will be alerted immediately if off-limits areas are accessed by children
a smart water filtration and filling system,I can have a constant supply of clean water to keep up with my hydration needs
Pantry shelf pressure sensors,"When there is less than three pounds of cat food or of any other items left on that shelf, I am alerted to it  "
smart tennis court,I can play and practice with an automated system since I am forever alone
smart blinds,I can have sunlight when it is available without needing to remember to open or close the blinds
smart night-light paths,"during the night, i can see where i'm going without turning on overhead lights"
Water detectors embedded in the floor,"An alarm will go off if there is a water leak, aquarium mishap, a roof leak, a cat puddle, or any other liquid spilled on the floor anywhere in the house"
smart pooper scooper,it will automatically clean up what my dogs leave in the yard and either dispose of waste through plumbing or place into an airtight receptacle
Well water pump temperature and shutdown sensors,"I am immediately notified by alarms, both in-house and via cell phone, whenever my well pump has shut down or is running dry  If it is running dry, ie the temperature has risen high enough to burn out the pump, it automatically turns the pump off   "
Chimney stack temperature and carbon sensors,"An alarm goes off whenever the stack temperature goes higher than 500 degrees Fahrenheit, and another alarm goes off if the carbon in the stack accumulates in a layer thick enough to cause a chimney fire"
Outdoor stock tank water level sensors,I am automatically notified whenever the water level drops to less than 10 inches in the tank
a pet door to not open when any animal other than mine tries to enter it,wild animals don't get in my house
Attic moisture detectors,An alarm goes off if the moisture detectors sense any kind of roof leak
my washer and dryer to use only enough water and energy to wash and dry my clothes based on the zie of the load,I can save water and energy
Propane tank level sensors,"When there is less than a week's worth of propane left in the tank, I am notified"
to be alerted when my monthly energy usage exceed my normal monthly average,I can monitor my energy usage
Propane line pressure sensors,"An alarm goes off if there is a sudden pressure loss in the propane line, indicative of a propane leak inside or outside the house"
my fridge or freezer to automatically shut if I leave it open,I save on energy and my food doesn't get spoiled
my shower to play music when I turn it on,my showers are more fun
my home to detect the weather and adjust the heating/AC as necessary,I save on energy costs
an oven synced with my smartphone so it preheats based on a recipe I have pulled up,cooking is easier and more efficient
anti-fogging/de-fogging windows,So i can see outside when it is foggy or when it rains
my appliances to interface with each other I want them to share information about what they're doing (probably based on a recipe on my cellphone),cooking can be more efficient
automatic shades to adjust based on the amount of sunlight hitting the home,it's not too bright and not too dark inside and I save energy
smart solar panels that adjust themselves,sunlight is collected more efficiently
surveillance system that alerts me via smartphone,I can access the system even when I'm not home in case I need to alert the police
"smart mirrors that display relevant information when I step in front, such as weather, news, sports scores, etc",my day can start off better
rooms to accept voice commands when I enter to play videos/music/etc determined by my smartphone on whatever device is available in the room,I have an easier time accessing my media
my smart home to tell me when the water levels in my fish tanks fall more than 10% in an hour,if my fish tank is leaking I'll be able to save my fish
a smart home to notify me when the temperature in my fish tanks rise or fall below 5 degrees to what I have set,I can save my fish in case of a heating malfunction
my smart phone to be able to remind me when to do water changes in my tanks,I can be reminded to do fish chores
my smart house to make me aware of when I am low on certain food in the house,I can be aware of what I need to pick up soon at the grocery store 
my smart home to inform me when the temperature in my fridge/freezer drops 5 below it's set temp,I can prevent food from spoiling if they break
my smart home to be able to dispense food for my pets when I am away,I can be at work or on vacation without worrying about my pets
a smart home that turns the lights to my fish tanks on and off throughout the day,I save energy and have my fish on a proper schedule
a smart home to be able to detect ammonia levels in my fish tanks,"if they get high, I can change the water to prevent ammonia from harming my fish"
my smart home to tell me when the filters in my fish tanks stop working,I can be made aware to save my fish
a smart home to remind me to take my vitamins and track when I have taken them,I can be reminded to take my vitamins or ask if I've already taken it
the ability to be alerted on my phone if any doors or windows are opened and then be able to set specific alarms to multiple people ,my child cannot wander/elope (without having to lock him in the house with the alarm set)
"the ability to fully control my electric/gas fireplace remotely (including turn on/off, heat setting, etc)",I can have alternative forms of heating available to me before I reach my home 
"to be able to use the ""find my iphone"" type app to find important things like kids lovies/blankies etc",I don't have to deal with meltdowns as a result of missing items and my kids
a couch that is heated and air conditioned by remote control ,I can reduce other sources of heat and cooling by making my immediate area more comfortable
a refridgerator that has a section that locks and unlocks via remote,I can keep certain snacks and special items (medicine/wine/etc) away from the kids (and my husband)
a kitchen that will help me find recipes and talk me through making them,I can make healthy/fun/interesting meals on the fly without thinking
a refridgerator/cabinets that automatically knows what we have in stock and how much of it,the process of deciding on recipes and building shopping lists can be automated
a place to store medicine and have the dispensing be done automatically based on the prescription,we avoid mixing up prescriptions and we know they are safely stored
a robot that automatically picks up stray clothes/toys/items,my house is always clean and I don't have to keep up
a garage that monitors my vehicles needs ,so that I know what my vehicle needs and if there are any problems potentially occurring
automatic coffee machine,coffee is ready when I wake up and the machine doesn't have to stay on for longer than necessary
my home to talk to me ask me questions,I can tell it what I want it to do
remote power outtage alert,"if too much time passes before electrical services are restored I can make necessary arrangements (spoiled food, pets)"
beer coming out of my sink,I can drink
"digital readout of power usage for week, month, year",I can monitor my power consumption and estimate my costs
a self mowed lawn,i can relax on sundays
voice activated system to notify EMS personnel,if I become unable to access a phone I can yell a command to call emergency services
blanket warmer,it heats up automatically when it is touched
my house to wake me up in the morning,i can go to work
the stove top burners and oven to automatically turn off,that unwatched  pots will not burn
Sensors to detect when my dog is at the backdoor,So I'll know when she needs to be let out
an automatic food and water dispenser,my pets can be fed periodically throughout the day 
music playing in my shower,i can dance in the shower 
doors that lock automatically,my child can not leave the house if I step out of the room
the oven to set the temp if I am preparing a meal from an app or using smart device,I will not forget and it will be ready when I get all the ingredients together
nature sounds playing as I sleep,i can sleep better
a monitor to notify EMS if I don't move for more than a day,if I die or become unconcious I can be removed or have help sent
I want my toilet to alert me when it has been more than 24 hours since my last bowel movement,I can adjust my diet to contain more fiber
an automated pet door with cameras and sensors,I can let my dog out to use the bathroom when I am not at home
auto-locking cabinets,my child can not get into dangerous items
to take phone calls just speaking in my home,i don't need my phone
the robot vacuum cleaner to return to its charging station when needed,the vacuum can run all day long when we are not home
automatic lighting,I can save energy by having lights turned off when not in use and have lights turn on when entering rooms
to send txt using my voice in my home,i don't have to txt on my phone
a self-adjusting thermostat,I can save on electricity bills
severe weather alarm,I can be warned of dangerous weather approaching my location
the dishwasher to start when energy consumpiton is low,I can save on my energy bill
a device to send me a text message when my child's phone crosses the threshold of our front door,I can know my child made it home safely
certain scents in my shower,I can breathe peppermint if I have a headache ect 
My smart home to alert me when the children are not watching the proper television programs,I can supervise my children without needing to actually spend time with them
a device to send me a text message if I lock the door and left the coffee pot on,I don't start a fire
a smart thermostat,"I can be alerted when a filter change is due, adjust the temperature remotely"
increments of monthly electricity used to be texted to my phone,I can budget appropriately
the temperature of the water to raise and lower as needed troughout the day,I am not always heating water that isn't being used
a robot to make me meals,I don't have to cook my own
sensors that will detect drafts ,so I'll know when maintenance needs to occur on windows and doors
a central data storage drive/server,"I can backup my data, access music and movies, access books via wifi or hardline"
an app on my smart phone to control my stereo system,I can turn it on/off or change stations/tracks if I'm in a different room
My coffee freshly ground and brewed every morning before I wake up,I can save time
"The temperature in each room to be monitored, if room is rarely used, keep it at a lower temp, and vice versa",I am not paying to heat a room that is rarely used
my smart home to let me know when the dog uses the doggy door ,I can keep track of the pets whereabouts
My smart home to read stories to my children at bedtime,It will save me time
a camera/alarm at the back door to alert me via sound and/or text message if the back door has been opened and left open,small children in my care can not leave the house and wander near the pool
my smart home to let me know if any faucets or toilets are left running,I can conserve water
an appliance energy warning system,I don't overload a circuit and have the electricity shut off
sensors that will detect stress on the foundation,I'll know when drainage/moisture around the foundation needs to be adjusted (big problem in Texas)
a self-locking/code-locked cabinet,my guns are kept safe from small children/other people
my pc to alert me when any of the major systems in the home fail,I know the moment when something fails A hot water tank failure is critical in my opinion to know exactly when it fails
my smart home to let me know when the children leave the yard,I can keep track of their whereabouts
To have my children surveilled  when they go to the bathroom',I know that they wipe properly and wash their hands properly;
"my coffee making to become automatic, adjusting to my needs ",coffee will always be ready at the times I expect it to be
sensors that will detect termites,I'll know when to call the exterminator before the insects can do damage
heat/weather sensors in my yard,"the sprinklers will know whether the lawn needs to be watered or not, thus saving on water if it will rain or be too cold"
to be alerted when a toddler attempts to enter an area that I have assigned them to not be in,the child will not interact with harmful items or devices
my smart home to let me know if it senses anyone outside the perimeter of the house after dark,I can protect my family from a break-in
my refrigerator to monitor the food content and place orders with local delivery services,I am always stocked up on the things I use most
automated lock system,the doors and windows lock as I go to bed
sensors that will detect rodent activity,I'll know when varmint control measures need to be taken
My smart home to record all of my childre's conversations when they think they are alone with their friends,I know what they are up to
a smart fence that auto-closes and locks,my dog does not accidentally escape from my yard
my thermostat to automatically adjust itself based on real-time weather updates,my house can be more efficient with cooling and heating
my smart home to let me know at night if my child leaves his bedroom,I can monitor my child's nighttime movements
the lights in a room to power on and off the moment someone enters or leaves a room,I can save money on my power bill
a smarter air conditioning and heating system,"MY temperature is monitored, and not necessarily just the room I'm in"
my oven to calculate the best cook times for various foods,my meals can always be cooked properly and healthily 
"My smart home to make sure my husband is not watching pornography If he is caught, I want an alarm to go off",I know if he's being good
a smart water heater ,it will alert me when it needs maintenance and also adjust water temperature for times when the house is empty
light dimmer,the lights emit a sunlight glow during the day and a calm blue at night
a monitor that eliminates unwanted insects,bugs stay out of my home
"the washing machine to automaticly detect the amount of clothes inside and dispense detergent, softener and water acordingly",I will save on water useage and money on over using laundry supplies
automatic power controller,to turn off all electronics when I leave the house
something that automatically refills the toilet paper in my bathroom,I don't get stuck without a roll
a smart clothes dryer,"it will shut off when the clothes are dry, not when the timer goes off"
"To have a camera on my wife at all times, especially in the bathroom",I can make sure she isn't doing something I disapprove of
my smart home to let me know if I have exceeded my monthly water allotment,I can conserve water and save money
smart alarm clock,it always has the right time and has simple buttons
my smart home to alert me if the children are using the internet when they are supposed to be asleep,I can ensure that my children have the proper amount of sleep
My smart home to alert me when anyone is within 29 feet of my house,I will not have any burglars or unwanted visitors
my smart home to alert me whenever anybody comes within five feet of my house or with seven feet of any window or door,I can prepare appropriately for any guest or potential intruder who may want to enter my home
an automated sprinkler system,"that will water only when the soil needs it, and only in the places where the soil needs it"
"my cothes dryer to send a signal to my phone when it is finished, and be able to turn it on if I have not unloaded it",I do not get too many wrinkles in my clothes
an automated door that recognizes only my cat,"only MY cat, and no other animals, can get in whenever she wants"
entertainment selector,I won't spend a hour trying to figure what to do next
A bidet in every bathroom and an alert if someone has a bowel movement without using it thoroughly,I am sure everyone has a clean buttocks area
a smart chair (recliner) that will wake me when I go to sleep,I'll get up and go to bed when it's time
a monitor that tells me when I'm running low on certain foods,I can shop for them before I run out
my smart home to notify me at what time my child returns home ,I can know whether my child has observed my curfew rules
"the lighting to automaticly adjust for the time of day, dimmer in the day and brighter in the evening",I am not wasting energy using the full wattage of a light bulb when it is not necessary
heating or cooling fan,it can keep the perfect temperture in a small room
my smart home to advise me regarding the daily amount of heat lost through windows and doors during cold weather months,I can make necessary adjustments with insulation in order to conserve energy
mobile overhead celing lights,it can provide ample light wherever I am
my security system to update me when there is movement within the home,I can check on my children when I am not there
my smart home to remind my kids to do their homework,they do their homework before watching tv or going on the internet
my freezer to keep track of when items are placed in them and keep me updated ,I never forget about products that need to be used
my smarthome to move my trash to the curb on trash day,I don't wake up early that morning and run after the garbage trucks
shower temperture controller,the water will be perfect everytime
my blinds to automatically adjust themselves dependent on sunlight ,we get the most of natural light 
my smart home to put out small fires,they don't become larger fires that get out of control
my smart home to advise me when my body switches from an anabolic state to a catabolic state,I can take any dietary or other health steps to try to stay in an anabolic state as frequently as possible
specific phone ringing sounds,I can tell whose calling base on the sound
my electronic appliances to automatically turn themselves off,I can save on electricity
smart washing machine,"I just have to add the clothes and it washes, adds detergent and dries automatically when full"
the lights in my home to adjust themselves based on the time of day,I can save on electricity and prevent lights from being on too often
a voice control system that allows me to monitor multiple features in the house,I can change features anywhere in the home
my smart home to inform me if any animal enters into my home or garage,I can take steps to make sure that both the animal and my family remain safe from potential threats to one another
my home to alert me if my dog gets out of the yard,I can promptly retrieve my dog to prevent danger to my dog or to any people who might encounter him
"my smart home to react to my voice and vocabulary to categorize, list, play, and flip through songs and artists from wherever I am in the home",I may enjoy the music all around my home
my smart home to adjust my thermostat in my home to the temperature I prefer by memory and change by request of my voice only,I can save money on my bills and not be inconvenienced 
Automatic stove ,It shuts itself off when I'm not cooking 
"my smart home to provide me with a daily report containing weight, percent body fat, heart rate, respiration rate and blood pressure",I can keep track of my health progress
my water to cut off,in the event of a leak there is minimal water damage
voice activated television,So that I can tell it the channel that I want to watch 
my smart home to sense my pet coming up to the door to open and let the pet outside  Then open when he comes in from the outside and closes and relocks,I can be sure my home is secure and my pet can be active
to be alerted about me electric usage,I can keep my usage down
"my smart home to have a projector that comes from behind the wall, onto a screen that comes down to assist my child with school work and interact with his questions",my child can do better in school and get his needs met through interaction and assistance 
my clothes dryer to provide visual and auditory alerts when clothes are mostly dry,"I can quickly pull them from the dryer so they do not wrinkle and, in the process, cut down on energy consumption"
smart home to have a computerized machine that will clean up pet messes at the command of my voice and discard them where appropriate,I do not have to touch unsanitary material
notification of my pantry supplies when they run low,I can restock before I run out
Toilet overflow sensor,"stop the water from flowing to the toilet if it's clogged, before black water spills on the floor "
sensors to switch off the lights and other appliances when nobody is there,I can save elctricity
child location sensors,I know where my children are at all times 
my cabinets to automatically lock,the grandchildren are safe
my smart home to have outside shutters that are energy efficient and close and open in accordance with the temperature and time of day outside,my home will stay at a satisfactory temperature to lower my bills and properly heat and cool my home
Automatic door with pet sensor,"It opens to let them and and out at night, so I don't have to "
my smart home to monitor air quality and to open vents (and windows) when poor air quality is noted,the existing air can be replaced with fresh air from outside
the lights to dim and the music to play softly,I can romance mysignificant other
shields inside the energy sockets everywhere in the home to come out of the outlets,my children and animals will be protected if they touch or go near the areas (water too)
sensors to switch off the cooking gas when nothing is kept on the stove,I feel safe even if I forget to switch it off
"my smart home to set a musical and visual alarm, by the sound of my voice, for whenever I need it and stay at previous time",in case I fall asleep without setting the alarm it will be set for me and I will wake up because it will not stop until my voice shuts it off
to be alerted of new postal delivery,I know when to go to the mailbox
my smart home to have electric toilet flushes to shank if I forget to shank,my toilet is clean always
my smart home to have counters that sanitize themselves after each use,in case I forget to wipe down an area where meat or other potentially harmful products have been
the temperature to adjust by voice command,"when I shower, I do not get scalded"
my smart home to have sensors to alert me when my baby is uncomfortable or crying,I can take care of my child easily
my smart home to have a way to connect the litter box to the toilet for my cats who will not toilet train,each time they go to the bathroom it will be taken into the toilet and disposed of
my bed to warm or cool automatically,"at bedtime, I am cozy"
my smart home to turn off non-essential electrical consumption when there is nobody present inside my home,I can conserve energy
I want automatic bed sheeet changer,I don't have to change them everyday
A sound recorder to turn on automatically when I am asleep,I can hear if I snore or talk in my sleep
automatic shoe polisher,my shoes are always clean
"my smart home to make a pleasant noise when any of my doors open or close, that goes to my bedroom",I can be sure my son is in the home and does not go anywhere without letting me know
automatic fan cleaner,it cleans my fans in the home without much hassle
to automatically be notified when the septic tank is near full,I do not have any septic problems
automatic door opener with an alert,I don't need to open the door every time someone is on the door 
an automatic germs and dust cleaner,my house is free of germs and dust
my smart home to have an automatic water server that serves water as an when i feel thirsty,i don't have to get up every time i feel thirsty 
motion sensors tied to the thermostat,to automatically change the thermostat settings when someone enters or leaves the room 
temperature-sensing showerhead and bath spout,"shuts off if the water is too hot, and automatically adjusts the mix for optimal temperature"
automatic windows,They open or close depending on outside weather to help keep the temperature optimal
self-closing drawers,I don't risk running into them if I forget to close them
chair sensor,It warns me if my chair has been moved so that I don't call on my butt when I try to sit down 
an automatic stove,it shuts itself off when I'm not cooking
child-detecting smart locks,adults can open certain doors but children can't 
motion-activated pet detecting warning buzzer,so that pets are driven away from areas that they shouldn't be in 
solar Sheated floors/walls,we could stay warm in the winter
windows that adjust to the amount of outside light,I could modulate the amount of electricity I use for lighting
appliances to have an auto-shutdown time,I could modulate the amount of electricity I use 
my smart home to be video monitored 24*7 and have access to my smartphone,I am sure no disaster takes place
a smoke detector if there is any kind of smoke or leaking gas detected,I am alerted before any disaster takes place
my smart home to equipped with a home speaker,"I can get from morning alarms, weather information, to do list to bedtime stories"
A house that can create an adaptive playlist based on the time of day,I can enjoy my music
my smart home to be smart card enabled,I can open every door from a single card in case of emergency
water that is preemptively filtered ,I can enjoy healthy water
fridge that can make ice cream,I don't have to buy ice cream
my smart home to equipped with a smart air conditioner,before returning home i get a pleasing and soothing temperature
A fridge that can heat different compartments at different temperatures,I can use my fridge for many scenarios
my smart home to have smart lock,I know who enters my house or leaves and it can controlled by an app
an escalator that is wind-powered that moves between floors,I can move around all three levels quickly
A garage that is warmed to the level of the interior of the house,I don't freeze in the winter
heated sidewalks,I don't slip in the winter
my smart home to be included with water monitor,I can get a report of any leakage
my smart home to be humidity monitor enabled,my home gets ventilation activated
my smart home to be included with smart ligh bulbs,when I enter it detects and activates
my smart home to equipped with smart bed,"it can track my hours of sleep,breathing,heart rate and movement"
a monitor that tunes into my classes at school ,it can allow me to participate in class from home
a child sensor,I can walkie talkie my child in the house
key detection sensor,I cal always find my keys
a air status indicator,to constantly assess the quality of my air
a toy collector,to sense toys on the floor and collect them
a food date indicator,to tell me when food goes bad
a mood indicator,to tell me if my husband is in a bad mood
a complimentor,to tell me nice things randoly
a coupon indicator,to let me know when my favorite foods go on sale
energy tracker,I can find out if I am using too much eergy
automatic temperature controls,I am always comfortable without wasting energy
surround sound connected to wifi,I can stream music in any room
home safety system,I can remotely lock and unlock doors and windows
a smart kitchen,"it automatically creates a grocery list based on what I use from my fridge, freezer, and pantry"
air quality monitor,I can be warned of pollutants in the air
giant projector tv,I can watch one game on a giant tv or multiple sports games at one on different parts of the screen
a smart wine cellar,I can store multiple kinds of wine at the proper temperature and humidity for each
automatic cabinets,my small appliances can be raised and lowered automatically as needed
video doorbell,I can see who is at my door regardless of where I am
an entertainment system,"it can play with my cat using a laser beam, other toys, and turn on the tv/music to keep it entertained while I am away from home"
alert system for washer and dryer,I can be alerted to a load finishing no matter where I am in the house 
an alarm for the main doors,I am notified when a door is left unlocked after a period of time 
faucets that detect temperature,everyone can avoid burning themselves if it's too hot or shocking if it's too cold 
motion sensors near staircases,I will know if the baby gets too close 
motion sensor light switches,"in case I leave a light on by accident, they will automatically turn off "
automated faucets,I can  run a bath whenever I feel like it even if I'm doing something else at the time 
automatic window screens,I can switch them out at the turn of the season without much work 
wifi wired into all of the walls,I would never have to worry about weak internet anywhere in the house 
smoke and co2 detectors that don't need batteries,I would never have to worry about dead batteries or fires 
a self cooling oven,no one would ever burn themselves on its outer surfaces even when it's in use 
"be able to download and stream games from services (Steam, XBox Live, etc)",I can etnertain myself and guests
have solar power,coal doesn't pollute the air to power my home
a robot that automatically keeps track of gaming pieces and can set up a game and put it away,I don't ever lose pieces from board games and don't waste time setting it up and cleaning it back up
breakfast to be automaticlaly cooked at a certain time and wake up to the smell of bacon,it is more pleasant to wake up
scale to upload weight to a data server,I can keep track of it
self-scrubbing toilets,a dirty task took care of itself
lights to be turned off when I leave a room,I can save anergy
oven to shut off if the house is not occupied,fires don't happen
"harmful gases, lead levels, and more are monitored ",my children are healthy at all times
automatic dishwasher,I don't have to clean dishes
the temperature to be variable when I am not home,I can save energy
a smart power system,so that my home saves energy
the television to recognize faces and automatically sign in to internet tv providers and email,I don't have to
my drink to automatically be filled when its low (it could be measured by weight),I don't have to walk to the fridge and can embrace laziness
My house to automatically lock all windows and doors once I close the front door and step on the front steps outsidde, I can always be comfortable
door to unlock when I am in proximity,I don't have to fumble with keys
save time cleaning so automatic cleaner,I spend moretime with kids
voice activated mirrors with dispays,I can see my itinerary
syncronized alarm clocks,my entire family can be woken at the same time
voice activated shower,i can set the shower to a precise temperature and flow
motion sensors throughout the house,"rooms which are empty turn off their lights and appliances, saving energy"
water dish hooked to sink to auto refill,I never have to fill the bowl
automatic doors,I don't have to open them
"a machine mounted on the ceiling next to the air vent, to filter out the dirty air ","I can breathe pure, clean air"
a toilet that cleans itself,I don't have to scrub feces
i want my smart home to put heat or air conditioning on depending on the temperature in the room,it will save me time in the morning
floors that resist germs,I don't spread germs
automatic loading washer,all the clothes get clean
a servant or tub that cleans/bathes/grooms my pet,I can keep my pet's hygiene well
smart breakfast appliances,my toddler doesn't flood the house
wireless microphones in each room,"so control lighting, temperature, and appliances with voice commands"
monitor air flow and quality,my guests are comfortable at all times
automatic toy sorter,don't have to pick up toys
A party fridge that learns and remembers my guests drink preferences and makes drink menus and orders low supplies,I can make sure to serve beverages that make many people happy and prevent arguments
voice activated lights,never have to get up
leakage sensors,"if anything around my tank starts to leak, I get notified"
"window sensors,",my home will be energy efficient and comfortable
an alarm system/sensor on the stairs,it will alert me when my child nears the stairs
smart windows that can tint,I can control whether light is allowed in
garage sensor,I can check if I shut my garage door when I leave
automatic temperature adjuster for bath,water doesn't get too hot
it automatically replenishes itself at lunch time of pet,My home will be secure from burgulars
"motion dectectors to monitor movement, and shut off lights and non-essential appliances if none is detected after a certain time",i can save money and conserve 
a home that measures changes in how tight my home is,I can stop leaks before they get too big
microphone picks up voice or instruments and automatically records the sound then transcribes and composes into sheet music,I can easily get my creative ideas documented
"an interconnected entertainment network, house wide","I can roam the house and multitask, but any program, music, or movie I am watching comes on as I enter the room, and turns off as I leave"
water sensor,I'm notified if my basement starts to leak water
automatic blinds,I don't have to open/close
"my smart home to turn off the heat if anything is blocking the heater,", I can know where it is and solve the problem before it spreads
smart sensors for my child's room,"so that if they leave their beds or rooms, an alert is sounded to prevent kidnapping"
smart techonolgy to indicate me wheather the students are studying or not by recognizing their voice,I can take some rest
a smart alarm,I will be protected from intruders
I'm aware if a window is open and letting cold/hot air in, I can always be comfortable
outlet control,I can turn off power to an outlet if I leave my hair straightener plugged in after I leave
cat food automatically dispensed at certain times,my cat will not go hungry
robotic trash machine,to empty trash
a refridgerator that can scan items' barcode when something is low to have it delivered to my door,I can save time and money
"My house to automatically lock all windows and doors once I close the front door and step on the front steps outsidde,", I can always be comfortable
sensors on the bathtub,if I fall the paramedics will be called
a thermostat that senses when I arrive home,so that the house will be automatically cooled or heated to the perfect temperature when I arrive
sensors on doors,doors auotmatically open and close when I am near them
uv light show holder,kill germs
walls that collect sunlight to heat my house,I spend less money on heat
" smart breakfast appliances,",My home will be secure from burgulars
full-house carbon monoxide sensors,I'd be immediately alerted to any threat of carbon monoxide
"a learning thermostat,"," my smart home to turn off the heat if anything is blocking the heater,"
individual room thermostats,I can control different temperatures in different rooms depending on usage
A smart oven,Cook things that require different temperatures all at the same time in the same space
a tv that senses when I am asleep and shuts off,I dont have to wake myself up to turn off the tv
smart gates on the stairs that automatically lock,small children can't fall down the stairs
my smart home to recognize stress words that automatically cue appropriate music from the stereo,I can calm down
"a program to search,  and download movies on it's own when I ask it to",so that I don't have to do it
rfid sensors,"when I come home, it senses my RFID chip and turns on coffee maker"
a machine to alarm me at the time of serials,I can watch the serial on time
outdoor motion detectors,I can be alerted when there is movement outside my house
a washer and drier that text me as soon as they're done,I can do the laundry more quickly and efficiently
be able to set up electronic use monthly and have my smart home follow regulations i put forth,my children have guidelines and limited exposure to technology daily
outdoor motion detectors, my home is secure and safe
a automatic egg harvester that puts the eggs in the fridge,I can collect all my eggs even if I am not home
my coffeemaker to sense when I get out of bed,so my coffee will be brewed by the time I get downstairs
a robot pooper scooper,it can follow Fido in the yard and bag and toss his waste so I don't have to
a smart thermostat,The house can be comfortable without wasting energy
window sensors,I am aware if I leave a window open after I leave the house
a coffee mug that has a screen and displays the morning news from sources I choose,I can drink my coffee and read the news in the morning
my thermostat to automatically turn down when it's bedtime,I can save energy
leash that can go around the entire outside of the house,my dog doesnt run away but has a room to run
I want a program installed in my home to keep track of my daily water usuage,I am more aware of how much water I do not need to waste
an machine to indicate me the level of water in the water tank,I can refill the tank at time
be able to scan movement in the walls regularly ,i can be alerted by pests when they first intrude
a perimeter alarm that will alert me if anyone enters my yard,I'll be safe from intruders
automatic light dimmers,light adjusts in my house depending on the amount of natural light
a smart refrigerator,food can be ordered at the store when it runs out or expires and can notify me
motion sensitive lighting,I can save energy and not have to worry about everyone in the house forgetting to turn the lights out
my smart home to have curtains that open with the alarm on my phone,I will wake up at a reasonable hour
automatic fragrance sprinkler,can save time
automatic shutoff features on appliances,"if I forget to turn them off, they'll be shut off automatically"
a bed that makes itselt,I always have a freshly made bed
"Self-parking, stackable garage","More of our cars can be in the garage and out of the elements, without more square feet"
sensors on my bedroom windows that close when someone is standing outside of them,I can have privacy and safety
a miracle shampoo and conditioner,my daughter no longer gets her hair tangled
controlable outlets,I can shut off outlets in the house when not in use
An alarm if anyone enters my home,I can make my home safety
a built in greenhouse off my kitchen,I always have fresh vegetables and herbs all year round
smart locks,can be save on energy costs
customizable scents to be pumped into the air ,"my children can be calmed and soothed at night, and i can freshen up my home at my command"
a smart shower,I can push a button and it will recognize who I am and adjust to my preferred temperature
network outlets,I wouldn't have to run them myself
Thermostat show temperature from across the room and give recommend to heat or cool the room,can be save on energy costs
oven sensor,I know if I left my oven on when I am not home
an ice maker that makes programable ice cube shapes,I can have a variety of cool ice cubes
food and water to be refreshened daily,"my pet is getting the best at all times, health and taste wise"
a smart toilet,I can be notified about different health-related things such as when I'm dehydrated
my smart home to have self-cleaning modes for all kitchen appliances,I can cook at home more and be healthier
mart lights,they are scheduled to dim at night or turn off when no one is in the room
backup generator,home dialysis wouldn't have to stop during an outtage 
a programmable wall,I can change a scenic view at a moments notice
a program where I can tag unwanted mail,I no longer receive junk in the mail
my smart windows to have sensors that automatically close when an animal gets too close,my pets will be safe
"automated sharp furniture sensors,","f my child nears such places, alarm goes off"
an smartmachine to clean and refill my fish tank whenever the tank looks dirty,I always keep my fish tank clean
"a remote that controls my lights, tv, other electronics",I can control everything from one place
"turn electronic devices on or off from anywhere I have an Internet connection, so that I can save energy",I can save energy
my smart home to have temperature controls for different areas of one room,unused areas don't waste energy
grey water collection system,I could have a garden and minimize water consumption
a smart bed,it adjusts tension to optimize comfort and posture
"smart device to clean your windows automatically,",can be save time
my smart home to alert neighbors to emergencies in my home,they will be safe as well
a machine to tell me what allergens are in my home,I can stay healthy
windows that keep in theheat and keep out the cold,comfort and energy conservation
my smart home to detect high dust/dirt levels and dispense cleaning tools,my home will be cleaner and healthier
a device that changes the temperature of the house to my comfort when I walk in or 30 minutes before I walk in  ,I am comfortable when I walk in
an control machine to switch off the gas stove by pressing the remote from anywhere,I can save from dangerous situation
music to be played in every room,everyone in the house can hear the music where ever they are
